,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,intercept,p_value,slope,std_error
13,USGS,02400100,TERRAPIN CREEK AT ELLISVILLE AL,ST,34.06509836,-85.6141287,U,NAD83,539.07,0.01,NGVD29,3150105.0,0.7340030373367061,0.002118874690161831,-8.744776363707272e-05,2.681442029513989e-05
14,USGS,02401450,GULF CREEK NEAR STEELE AL,ST,33.91815367,-86.2522003,U,NAD83,,,,3150106.0,-0.7071067811865477,0.0,0.006639500292831433,0.0
15,USGS,02401470,"  LITTLE CANOE CREEK NEAR STEELE,ALA",ST,33.9692643,-86.17775400000001,U,NAD83,554.62,0.01,NGVD29,3150106.0,1.5443286124624418,0.023011416871534636,-0.00024795214543148653,9.623834984066894e-05
16,USGS,02401895,"OHATCHEE CREEK AT OHATCHEE, ALA.",ST,33.7803769,-85.9983035,S,NAD83,,,,3150106.0,-0.7071067811865475,0.0,0.003983700175698859,0.0
17,USGS,02404000,CHOCCOLOCCO CREEK NEAR JENIFER AL,ST,33.570660600000004,-85.93052259,U,NAD83,554.15,0.01,NGVD29,3150106.0,-0.7071067811865476,0.0,0.00042712581164998343,0.0
18,USGS,02405500,KELLY CREEK NEAR VINCENT AL,ST,33.44760728,-86.386924,S,NAD83,404.09,0.01,NGVD29,3150106.0,1.1743612047704803,0.014455083913277511,-0.0001084388445997864,4.167931016265803e-05
19,USGS,02407500,YELLOWLEAF CREEK NEAR WILSONVILLE AL,ST,33.30650077,-86.55109379999999,U,NAD83,430.56,0.01,NGVD29,3150107.0,-0.7071067811865476,0.0,0.0004269968485426012,0.0
20,USGS,02408150,"WALNUT CREEK ABOVE CLANTON, ALA",ST,32.89027778,-86.5791667,S,NAD83,,,,3150107.0,-0.7071067811865476,0.0,0.002927978390006408,0.0
21,USGS,02408340,LITTLE HATCHET CREEK NEAR GOODWATER AL,ST,33.12567316,-86.09219159999999,U,NAD83,,,,3150107.0,-0.7092008990583492,0.007889160597656096,0.0006562117964916484,5.863284783035133e-05
22,USGS,02408540,HATCHET CREEK BELOW ROCKFORD AL,ST,32.9167896,-86.2702507,U,NAD83,377.0,5.0,NGVD29,3150107.0,0.6038068160203712,0.03446268136373722,-8.750137941702075e-05,3.9764453256155286e-05
23,USGS,02409000,WEOGUFKA CREEK NEAR WEOGUFKA AL,ST,32.98373234,-86.30719659999998,U,NAD83,593.08,0.01,NGVD29,3150107.0,-0.7071067811865476,0.0,0.0004269968485426012,0.0
24,USGS,02411000,COOSA RIVER AT JORDAN DAM NEAR WETUMPKA AL,ST,32.614020399999994,-86.2549702,U,NAD83,141.6,0.01,NGVD29,3150107.0,0.7264260350541867,0.003222073684058629,-9.265718783032152e-05,2.965229724624215e-05
25,USGS,02412000,"TALLAPOOSA RIVER NEAR HEFLIN, ALA.",ST,33.622885,-85.5132894,U,NAD83,830.0,0.01,NGVD29,3150108.0,0.5802083950958881,0.017090276862388277,-6.919476320725787e-05,2.793966394623173e-05
26,USGS,02413400,WEDOWEE CREEK ABOVE WEDOWEE AL,ST,33.332338,-85.3607827,U,NAD83,1050.0,0.01,NGVD29,3150108.0,-0.6719630788617775,0.018715916162594822,0.0006568554045569673,9.114627951204094e-05
27,USGS,02413500,LITTLE TALLAPOOSA RIVER NEAR WEDOWEE AL,ST,33.349281,-85.54523259999999,U,NAD83,680.0,0.01,NGVD29,3150108.0,-0.7071067811865474,0.0,0.00042725485268069326,0.0
28,USGS,02414800,HARBUCK CREEK NEAR HACKNEYVILLE AL,ST,33.11900716,-85.9446875,U,NAD83,710.0,0.01,NGVD29,3150109.0,-0.7071067811865476,0.0,0.00042686796328798523,0.0
29,USGS,02419977,"Three Mile Branch @ North Blvd at Montgomery, Al",ST,32.4223593,-86.2549683,S,NAD83,,,,3150201.0,0.7071067811865475,0.0,-0.003415974788340809,0.0
30,USGS,02420000,"ALABAMA RIVER NEAR MONTGOMERY, AL.",ST,32.41152597,-86.40830579,U,NAD83,97.9,0.01,NGVD29,3150201.0,0.5006155144198557,0.040304853651384295,-6.018192753939909e-05,2.84811316323693e-05
31,USGS,02420500,"AUTAUGA CREEK AT PRATTVILLE, AL.",ST,32.45944444,-86.4753444,1,NAD83,164.0,1.6,NAVD88,3150201.0,-0.7071067811865475,0.0,0.00035443948931656514,0.0
32,USGS,02422000,BIG SWAMP CREEK NEAR LOWNDESBORO AL,ST,32.26680644,-86.69442369,U,NAD83,127.95,0.01,NGVD29,3150201.0,-0.5819809930938599,0.01968269956416601,0.0003066608668425861,6.713632392105938e-05
33,USGS,02423130,"CAHABA RIVER AT TRUSSVILLE, AL.",ST,33.62232504,-86.59943100000001,U,NAD83,673.3,0.01,NGVD29,3150202.0,-0.7546504663557928,0.014891359746836462,0.00015195251663307542,5.8263273492745406e-05
34,USGS,02423190,"Big Black Creek (C-8) near Leeds, AL.",ST,33.5959365,-86.5316512,U,NAD83,,,,3150202.0,-0.7071067811865475,0.0,0.005032788478196068,0.0
35,USGS,02423630,SHADES CREEK NEAR GREENWOOD AL,ST,33.326223399999996,-86.9497141,U,NAD83,478.37,0.01,NGVD29,3150202.0,0.554308620906391,0.04282422420411047,-6.117281916148023e-05,2.8875927576905358e-05
36,USGS,02427500,ALABAMA RIVER NEAR MILLERS FERRY AL,ST,32.11458938,-87.39944009,U,NAD83,26.82,0.01,NGVD29,3150203.0,-0.7071067811865476,0.0,0.0003545283435380033,0.0
37,USGS,02442000,LUXAPALLILA CREEK NEAR FAYETTE AL,ST,33.71955327,-87.8705763,U,NAD83,322.33,0.01,NGVD29,3160105.0,-0.7071067811865476,0.0,0.00042712581164998343,0.0
38,USGS,02453835,TRINITY CREEK NEAR CARBON HILL AL,ST,33.90149585,-87.5539027,U,NAD83,,,,3160109.0,-0.7071067811865475,0.0,0.00506886581495733,0.0
39,USGS,02454200,WOLF CREEK NEAR OAKMAN AL,ST,33.6723325,-87.387504,U,NAD83,270.0,0.01,NGVD29,3160109.0,0.7071067811865474,0.0,-0.0004271258116499833,0.0
40,USGS,02461130,"VALLEY CREEK AT CENTER ST AT BIRMINGHAM, AL",ST,33.5057722,-86.8364556,1,NAD83,553.0,1.6,NAVD88,3160112.0,1.0238510438129491,0.02491281503642617,-0.0010353882269128348,0.00032698269110388324
41,USGS,02461630,"HALLS CREEK AT BESSEMER, AL.",ST,33.3995546,-86.9836043,U,NAD83,,,,3160112.0,1.2514293027211458,0.033350854340464,-0.0012619455153490544,0.0003961200120055184
42,USGS,02462000,VALLEY CREEK NEAR OAK GROVE AL,ST,33.44733226,-87.1222186,U,NAD83,294.87,0.01,NGVD29,3160112.0,0.5298068472433503,0.03024969051301251,-6.32263057918166e-05,2.825743335955322e-05
43,USGS,02462840,DAVIS CREEK NEAR ANTIOCH CHURCH NEAR SEARLES AL,ST,33.38511328,-87.294722,U,NAD83,240.0,0.01,NGVD29,3160112.0,0.7071067811865475,0.0,-0.00506886581495733,0.0
44,USGS,02464385,"POLE BRIDGE CREEK NEAR SAMANTHA, ALA.",ST,33.38011554,-87.6261197,S,NAD83,250.0,20.0,NGVD29,3160112.0,-0.7071067811865475,0.0,0.0035622507868339924,0.0
45,USGS,02464503,"TIERCE CREEK ABOVE NORTHPORT, ALA.",ST,33.3792821,-87.5413946,S,NAD83,310.0,20.0,NGVD29,3160112.0,0.7071067811865476,0.0,-0.011048543456039806,0.0
46,USGS,02464680,BRUSH CREEK NEAR NORTHPORT AL,ST,33.32233848,-87.5000046,U,NAD83,,,,3160112.0,0.7071067811865475,0.0,-0.0070710678118654745,0.0
47,USGS,02465080,"MILL CREEK AT CLOVERDALE ROAD NEAR NORTHPORT, AL.",ST,33.24789545,-87.6069525,U,NAD83,,,,3160113.0,-0.7071067811865475,0.0,0.007365695637359869,0.0
48,USGS,02467050,"TOMBIGBEE R AT US HWY 80 NEAR COATOPA, AL.",ST,32.43069466,-88.0333521,U,NAD83,,,,3160201.0,0.7071067811865475,0.0,-0.00411108593713109,0.0
49,USGS,02468000,ALAMUCHEE CREEK NEAR CUBA AL,ST,32.43347255,-88.33336379999999,U,NAD83,161.5,0.01,NGVD29,3160202.0,-0.7071067811865474,0.0,0.0004271258116499833,0.0
50,USGS,0247100550,"EIGHTMILE CREEK AT MOBILE, AL.",ST,30.73491097,-88.16083590000001,U,NAD83,,,,3160204.0,0.9796936089200958,0.01699366022476356,-0.002241861805309144,0.0002960349847162397
51,USGS,02479500,ESCATAWPA RIVER NEAR WILMER AL,ST,30.862409200000002,-88.417792,U,NAD83,55.01,0.01,NGVD29,3170008.0,-1.2522264479039529,0.00398322577922824,0.0013089475065198117,0.00021968808254990474
52,USGS,02480150,"FRANKLIN CREEK NEAR GRAND BAY, AL",ST,30.46944444,-88.3861111,U,NAD83,,,,3170008.0,-1.0963923273760483,0.013203964719020996,0.0005377108030289596,0.00017886969686712134
53,USGS,03574100,ESTILL FORK AT ESTILLFORK AL,ST,34.91,-86.1683333,U,NAD83,,,,6030002.0,0.7071067811865476,0.0,-0.003580287499678722,0.0
54,USGS,03574500,PAINT ROCK RIVER NEAR WOODVILLE AL,ST,34.6242547,-86.30637370000001,U,NAD83,570.95,0.01,NGVD29,6030002.0,0.6205482702169545,0.010405978784262353,-7.403381300309902e-05,2.7685542355910328e-05
55,USGS,03575340,GLOVER COVE CREEK NEAR OWENS CROSS ROADS AL,ST,34.604256400000004,-86.41359809999999,U,NAD83,610.0,0.01,NGVD29,6030002.0,-1.2109771303119619,0.010154585203464442,0.0017414108862697176,0.0002997758716360142
56,USGS,0357587400,"PINHOOK C AT MASTIN LAKE RD AT HUNTSVILLE, ALA",ST,34.77147944,-86.59221529999999,U,NAD83,,,,6030002.0,2.1054671331984935,0.0024106896337011572,-0.00017755872370987745,5.115238392566462e-05
0,USGS,15008000,SALMON R NR HYDER AK,ST,56.025815,-130.06698229999998,R,NAD83,295.0,50.0,NGVD29,19010106.0,0.809697795387287,0.03676775376213306,-8.522596419039713e-05,3.404905033790515e-05
1,USGS,15015598,CLEAR C AT MOUTH NR WRANGELL AK,ST,56.125475300000005,-130.9692084,R,NAD83,80.0,50.0,NGVD29,19010105.0,-0.7071067811865475,0.0,0.0261891400439462,0.0
2,USGS,15015600,KLAHINI R NR BELL ISLAND AK,ST,56.05380409,-131.0503183,U,NAD83,4.0,1.0,NGVD29,19010105.0,1.0945246041425674,0.010755806995674869,-0.0018881965568876952,3.190446044513869e-05
3,USGS,15019990,TYEE LK OUTLET NR WRANGELL AK,ST,56.199641500000006,-131.5083622,S,NAD83,1350.0,50.0,NGVD29,19010104.0,1.050427646739141,0.030876372711607227,-0.00013369012847690647,5.7565128846921646e-05
4,USGS,15020500,EF BRADFIELD R NR WRANGELL AK,ST,56.2413079,-131.2550365,U,NAD83,250.0,50.0,NGVD29,19010104.0,-0.7071067811865475,0.0,0.0038852020944315792,0.0
5,USGS,15028300,FARRAGUT R NR PETERSBURG AK,ST,57.17299398,-133.111721,F,NAD83,25.0,12.0,NGVD29,19010208.0,-0.8827019968889517,0.021955824695695177,0.0003039869124025662,0.00011798185246061225
6,USGS,15034000,LONG R NR JUNEAU AK,ST,58.16634177,-133.6989569,U,NAD83,183.0,1.0,NGVD29,19010206.0,-0.9644605495645291,0.044143129969163926,0.0020943768720185214,0.0004552469725310759
7,USGS,15052000,LEMON C NR JUNEAU AK,ST,58.3913429,-134.4226062,F,NAD83,650.0,50.0,NGVD29,19010301.0,-1.2164339945503235,0.0036259635667373145,0.00010483743451509074,3.136665041329122e-05
8,USGS,15052475,JORDAN C BL EGAN DR NR AUKE BAY AK,ST,58.366062199999995,-134.5778918,F,NAD83,82.0,33.0,NGVD29,19010301.0,1.119273032131685,0.03599041653225983,-0.0006982848529866329,0.00026969875018710863
9,USGS,15052500,MENDENHALL R NR AUKE BAY AK,ST,58.429397200000004,-134.57455919999998,S,NAD83,60.0,16.0,NGVD29,19010301.0,-0.6297514817103279,0.008194782327991776,7.387727993551701e-05,2.6732484803867777e-05
10,USGS,15054200,HERBERT R NR AUKE BAY AK,ST,58.52356128,-134.7962379,U,NAD83,,,,19010301.0,0.7071067811865476,0.0,-0.004591602475237322,0.0
11,USGS,15054990,DAVIES C NR AUKE BAY AK,ST,58.6513446,-134.88706919999998,U,NAD83,120.0,10.0,NGVD29,19010301.0,-0.7071067811865475,0.0,0.004208968935634211,0.0
12,USGS,15057590,KAHTAHEENA R NR GUSTAVUS AK,ST,58.42299689,-135.5998738,R,NAD83,30.0,25.0,NGVD29,19010302.0,-0.7071067811865475,0.0,0.003266082130191905,0.0
13,USGS,15085100,OLD TOM C NR KASAAN AK,ST,55.3951944,-132.40862679999998,S,NAD83,10.0,50.0,NGVD29,19010103.0,-0.5305070151327788,0.03111711512224827,6.279486060634602e-05,2.821868161339003e-05
14,USGS,15085800,MAYBESO C AT HOLLIS AK,ST,55.490199,-132.676926,R,NAD83,50.0,50.0,NGVD29,19010103.0,-0.7071067811865476,0.0,0.02049584873004486,0.0
15,USGS,15086960,SUNRISE LK OUTLET NR WRANGELL AK,ST,56.411875699999996,-132.4933566,T,NAD83,1950.0,50.0,NGVD29,19010209.0,-0.726397285574164,0.01956500038296708,0.0002040769384740387,6.028658299053939e-05
16,USGS,15087080,UPPER EARL WEST C NR WRANGELL AK,ST,56.2854872,-132.1325175,R,NAD83,650.0,50.0,NGVD29,19010209.0,0.9456176308467281,0.017462494728010133,-0.0006280252579177314,0.000210382728230835
17,USGS,15088400,CUPOLA PEAK C AT BEAR COVE NR SITKA AK,ST,57.01047,-135.1548194,T,NAD83,90.0,50.0,NGVD29,19010212.0,-1.1145500237790384,0.0289222386902994,0.0006875694162733118,0.00024067718468323202
18,USGS,15093600,EB LOVERS COVE C DIVERSION NR BIG PORT WALTER AK,ST,56.39212729999999,-134.7148299,U,NAD83,3.0,1.0,NGVD29,19010212.0,0.7071067811865476,0.0,-0.02049584873004486,0.0
19,USGS,15102200,FAVORITE C NR ANGOON AK,ST,57.44744387,-134.4614756,T,NAD83,370.0,50.0,NGVD29,19010204.0,-0.7071067811865475,0.0,0.003972510006665997,0.0
20,USGS,15107910,WF INDIAN R NR TENAKEE AK,ST,57.8657679,-135.32705900000002,U,NAD83,490.0,10.0,NGVD29,19010211.0,0.7071067811865475,0.0,-0.0020231953682018525,0.0
21,USGS,15108600,HILDA C NR DOUGLAS AK,ST,58.22689146,-134.4989966,U,NAD83,30.0,1.0,NGVD29,19010206.0,0.7071067811865475,0.0,-0.004876598490941707,0.0
22,USGS,15109000,FISH C NR AUKE BAY AK,ST,58.33022717,-134.5906698,U,NAD83,17.0,1.0,NGVD29,19010301.0,-0.5075026667739008,0.02454340478452272,0.00023456399832404363,8.48806540718631e-05
23,USGS,15199300,TULSONA C NR GAKONA AK,ST,62.4311111,-144.9675,5,NAD83,1800.0,50.0,NGVD29,19020101.0,0.7071067811865474,0.0,-0.0054602840246065435,0.0
24,USGS,15207800,L TONSINA R NR TONSINA AK,ST,61.47978829,-145.1534817,U,NAD83,1850.0,50.0,NGVD29,19020102.0,-0.5724164831027418,0.0002068246792098799,0.00022669959726841256,2.359025216673597e-05
25,USGS,15208000,TONSINA R AT TONSINA AK,ST,61.66090357,-145.186003,S,NAD83,1500.0,50.0,NGVD29,19020102.0,-0.8171154019302151,5.5583776446278996e-05,0.0002418980250045043,4.125350086326689e-05
26,USGS,15209800,EF KENNICOTT R AT MCCARTHY AK,ST,61.43400459,-142.9323478,S,NAD83,1345.0,45.0,NGVD29,19020103.0,1.1115876714722224,0.03843282508160287,-0.0011825400760342793,0.0003342885751488952
27,USGS,15215990,NICOLET C NR CORDOVA AK,ST,60.518625300000004,-145.79171730000002,F,NAD83,30.0,10.0,NGVD29,19020201.0,0.9850030081147393,0.0027346320655206053,-0.00029422397040287327,8.479826502424701e-05
28,USGS,15215992,HENEY C AT CANYON MOUTH NR CORDOVA AK,ST,60.52335006,-145.76338080000002,F,NAD83,,,,19020201.0,-0.7071067811865475,0.0,0.003983700175698859,0.0
29,USGS,15216000,POWER C NR CORDOVA AK,ST,60.58667537,-145.620022,U,NAD83,33.5,0.1,NGVD29,19020104.0,-0.730944661381989,0.023073697111171163,0.00016924873375274128,6.951472188523151e-05
30,USGS,15216003,MIDDLE ARM EYAK LK TR NR CORDOVA AK,ST,60.5575101,-145.6308655,F,NAD83,,,,19020104.0,-0.7071067811865475,0.0,0.003972510006665997,0.0
31,USGS,15216008,MURCHISON C NR CORDOVA AK,ST,60.536403799999995,-145.716152,U,NAD83,,,,19020104.0,-0.7071067811865475,0.0,0.002534432907478665,0.0
32,USGS,15216100,HUMPBACK C NR CORDOVA AK,ST,60.6108405,-145.67862140000003,U,NAD83,40.0,10.0,NGVD29,19020201.0,-0.7071067811865476,0.0,0.003972510006665998,0.0
33,USGS,15223900,DUCK R AT SILVER LK OUTLET NR VALDEZ AK,ST,60.94918598,-146.52923159999997,U,NAD83,310.0,10.0,NGVD29,19020201.0,-0.7071067811865475,0.0,0.02244783432338246,0.0
34,USGS,15224000,DUCK R NR TIDEWATER NR VALDEZ AK,ST,60.9439062,-146.563121,U,NAD83,40.0,10.0,NGVD29,19020201.0,-0.7071067811865475,0.0,0.02244783432338246,0.0
35,USGS,15225945,ALLISON C AB MOUTH NR VALDEZ AK,ST,61.08114167,-146.35368390000002,F,NAD83,60.0,1.0,NGVD29,19020201.0,1.1728507430570372,0.03242542709399289,-0.0015776846153578651,0.00041728698023297254
36,USGS,15225996,SOLOMON GULCH TAILRACE NR VALDEZ AK,ST,61.08308748,-146.3047938,U,NAD83,,,,19020201.0,-1.193319562859407,3.3068881093093064e-06,0.00022974962704262744,3.974413091994514e-05
37,USGS,15225998,SOLOMON GULCH BYPASS NR VALDEZ AK,ST,61.0825319,-146.3059048,U,NAD83,,,,19020201.0,1.3242611262259856,0.021100542527932354,-0.000871081155221829,0.00028094032517721185
38,USGS,15226620,LOWE R AB HORSETAIL FALLS NR VALDEZ AK,ST,61.0670833,-145.906111,5,NAD83,270.0,50.0,NGVD29,19020201.0,-0.7071067811865475,0.0,0.003983700175698859,0.0
39,USGS,15236210,WHITTIER C AT WHITTIER AK,ST,60.77219720000001,-148.690673,1,NAD83,50.0,50.0,NGVD29,19020201.0,-0.7071067811865476,0.0,0.003142696805273545,0.0
40,USGS,15237900,SALMON C AT BRUNO ROAD NR SEWARD AK,ST,60.1797179,-149.3815934,F,NAD83,200.0,50.0,NGVD29,19020202.0,0.8607710971751111,0.047774290433498415,-0.00030612813755427523,0.0001400891300336521
41,USGS,15238000,LOST C NR SEWARD AK,ST,60.1977738,-149.3804836,U,NAD83,300.0,50.0,NGVD29,19020202.0,-0.790179755786802,0.04922860766097902,0.0003654855484675309,8.42347073062685e-05
42,USGS,1523849020,LOWELL C AB CITY WELLS AT SEWARD AK,ST,60.0991593,-149.46631000000002,S,NAD83,350.0,30.0,NGVD29,19020202.0,-0.7071067811865476,0.0,0.0038325570796018836,0.0
43,USGS,15238500,LOWELL C AT SEWARD AK,ST,60.0980485,-149.4451989,U,NAD83,5.0,1.0,NGVD29,19020202.0,-0.7071067811865474,0.0,0.0037216146378239337,0.0
44,USGS,15238648,UPPER NUKA R NR PARK BOUNDARY NR HOMER AK,ST,59.6838574,-150.7054468,T,NAD83,1300.0,50.0,NGVD29,19020202.0,0.6648800269065067,0.02021552359525213,-0.00011992785478111593,4.8898027183893874e-05
45,USGS,15238985,BATTLE C NR TIDEWATER NR HOMER AK,ST,59.75495840000001,-150.9554535,U,NAD83,90.0,50.0,NGVD29,19020301.0,0.7071067811865474,0.0,-0.0037216146378239337,0.0
46,USGS,15238990,UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK,ST,59.69996879999999,-150.704616,T,NAD83,1250.0,50.0,NGVD29,19020301.0,-0.8102916455393929,0.0021667315610093022,0.00012393468130428732,3.74359322135236e-05
47,USGS,15239070,BRADLEY R NR TIDEWATER NR HOMER AK,ST,59.80107399,-150.8849079,S,NAD83,25.0,5.0,NGVD29,19020301.0,0.6252806605936145,0.027587313780224262,-0.00010974562038724425,4.746749927619281e-05
48,USGS,15239880,TWITTER C NR HOMER AK,ST,59.714386600000005,-151.6315876,U,NAD83,390.0,10.0,NGVD29,19020301.0,-0.7071067811865475,0.0,0.0039174890924462465,0.0
49,USGS,15250000,FALLS C NR LAWING AK,ST,60.429980900000004,-149.3715784,U,NAD83,,,,19020302.0,0.7071067811865475,0.0,-0.00012884598782553707,0.0
50,USGS,15251800,QUARTZ C AT GILPATRICKS AK,ST,60.5952541,-149.5451977,U,NAD83,,,,19020302.0,-0.7071067811865476,0.0,0.00038502955686716447,0.0
51,USGS,15272280,PORTAGE C AT PORTAGE LK OUTLET NR WHITTIER AK,ST,60.78471779,-148.84103190000002,M,NAD83,95.0,5.0,NGVD29,19020302.0,1.0699224635127589,0.024965986841494352,-0.00022223150380890007,9.086751508541197e-05
52,USGS,15273105,RABBIT C AT NEW SEWARD HIGHWAY AT ANCHORAGE AK,ST,61.07583436,-149.829136,U,NAD83,14.72,0.01,NGVD29,19020401.0,0.7071067811865476,0.0,-0.0023728415476058644,0.0
53,USGS,15273900,SF CAMPBELL C AT CANYON MTH NR ANCHORAGE AK,ST,61.147225600000006,-149.7221956,U,NAD83,520.0,10.0,NGVD29,19020401.0,-0.8794397986266241,0.0052665363185297655,0.00038875994929343154,0.00010950384036558976
54,USGS,15275100,CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK,ST,61.20472578,-149.8974826,F,NAD83,16.02,0.01,NGVD29,19020401.0,-0.7839703612772786,0.0005334453104644561,9.586872206755917e-05,2.5138892005215364e-05
55,USGS,15277100,EAGLE R AT EAGLE RIVER AK,ST,61.307233499999995,-149.5611017,U,NAD83,250.0,50.0,NGVD29,19020401.0,-0.8594208954381669,0.0002084223920627662,0.0003729095439951022,6.239575317418734e-05
56,USGS,15277410,PETERS C NR BIRCHWOOD AK,ST,61.41834717,-149.4911023,U,NAD83,75.0,5.0,NGVD29,19020401.0,-0.9418736594589188,0.0001105741200007905,0.0004307050614860987,6.619314049940236e-05
57,USGS,15280900,GLACIER FORK KNIK R NR PALMER AK,ST,61.41905299,-148.445558,1,NAD83,830.0,10.0,NGVD29,19020402.0,-0.7071067811865475,0.0,0.0032510656606278047,0.0
58,USGS,15286000,COTTONWOOD C NR WASILLA AK,ST,61.57446170000001,-149.41194280000002,U,NAD83,309.0,1.0,NGVD29,19020401.0,-0.7071067811865474,0.0,0.005439282932204211,0.0
59,USGS,15294300,SKWENTNA R NR SKWENTNA AK,ST,61.87250918,-151.3691358,U,NAD83,200.0,50.0,NGVD29,19020504.0,-0.7978966978322068,0.04370788359392903,0.0003191222080233943,0.0001416017881637596
60,USGS,15294640,LAKE FORK CRESCENT R NR TUXEDNI BAY AK,ST,60.3580556,-152.818611,S,NAD83,550.0,50.0,NGVD29,19020602.0,0.7071067811865475,0.0,-0.003874557705131767,0.0
61,USGS,15295600,TERROR R NR KODIAK AK,ST,57.65063520000001,-153.0316762,U,NAD83,1230.0,10.0,NGVD29,19020701.0,1.1517152420843866,0.030142981018639253,-0.0007777918231196263,0.00027529434237112915
62,USGS,15296520,CANYON C NR LARSEN BAY AK,ST,57.2825777,-153.98343300000002,U,NAD83,450.0,50.0,NGVD29,19020701.0,-0.7071067811865475,0.0,0.0031708824268455046,0.0
63,USGS,15297580,ALEC R NR CHIGNIK AK,ST,56.453212699999995,-158.9182398,1,NAD83,32.0,1.0,NGVD29,19020702.0,0.7071067811865476,0.0,-0.004208968935634212,0.0
64,USGS,15297585,CHIGNIK R AT BLACK LAKE OUTLET NR CHIGNIK AK,ST,56.3939064,-158.937012,1,NAD83,59.0,1.0,NGVD29,19020702.0,0.7071067811865474,0.0,-0.0038016493612179967,0.0
65,USGS,15297615,N FINGER BAY C AT ADAK IS AK,ST,51.8355664,-176.6249685,T,NAD83,55.0,50.0,NGVD29,19030103.0,0.7071067811865475,0.0,-0.0041964794135700145,0.0
66,USGS,15297621,PALISADES C AB LANDFILL AT ADAK IS AK,ST,51.9094559,-176.60859,T,NAD83,170.0,50.0,NGVD29,19030103.0,0.7071067811865476,0.0,-0.0019946594673809523,0.0
67,USGS,15297625,MOFFETT C AT ADAK IS AK,ST,51.93639769,-176.6519277,T,NAD83,20.0,50.0,NGVD29,19030103.0,0.7071067811865476,0.0,-0.003544394893165652,0.0
68,USGS,15297627,TROUT C AT ADAK IS AK,ST,51.875285299999994,-176.714978,T,NAD83,100.0,50.0,NGVD29,19030103.0,-0.7071067811865476,0.0,0.0019946594673809523,0.0
69,USGS,15297650,FALLS C ON AMCHITKA IS AK,ST,51.4984353,179.0138877,U,NAD83,40.0,10.0,NGVD29,19030103.0,0.7071067811865477,0.0,-0.006639500292831433,0.0
